# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
573.8 (1.62252575307379e-10,-1.10958769812341e-12,-5.97721435960936e-12)
574 (-8.41460703503447e-11,-6.4247160603411e-12,-8.14701945839813e-11)
574.2 (-1.03118317266562e-10,1.74779274327154e-11,2.0114372594656e-10)
574.4 (4.54067398057172e-11,-9.84327575488512e-12,-1.12007424141178e-10)
574.6 (-1.06213604238317e-11,4.60482576252557e-12,5.93167788992749e-11)
574.8 (-1.14505595999035e-11,-8.48873546258269e-12,-1.05108336050358e-10)
575 (3.28391136752944e-11,4.27961070387303e-13,-6.90779120902094e-12)
575.2 (3.49884239517962e-11,-4.36063086292886e-13,-2.98204166833954e-13)
575.4 (-3.23497331691994e-11,2.46306424536332e-12,2.50927928405194e-11)
575.6 (-1.16867634282346e-10,1.32352287146024e-12,1.71808380984849e-13)
575.8 (7.72980505111678e-11,3.35243996011681e-12,4.53639959861954e-11)
576 (2.12053850134885e-10,-1.50460762429154e-11,-1.62715382307699e-10)
576.2 (-4.84311082856066e-11,3.07132335971756e-14,4.43734776638999e-12)
576.4 (-1.32895123612028e-10,1.21327868981344e-11,1.22555208561706e-10)
576.6 (-3.65274145562351e-11,8.70930950848517e-12,9.93012417626864e-11)
576.8 (-1.83453293922997e-11,-6.24553859413626e-12,-8.16255200669537e-11)
577 (9.47864506543107e-11,2.01765665598613e-12,3.39452710489214e-11)
577.2 (-8.33843497530513e-11,1.63802632940684e-11,1.87420523355674e-10)
577.4 (2.43852587506256e-11,-2.10355308461546e-11,-2.45283378071675e-10)
